match_date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_goals_ht,away_goals_ht,result_ht,referee,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_fouls,away_fouls,home_yellows,away_yellows,home_reds,away_reds,season,home_team,away_team
2001-01-01,Chelsea,Aston Villa,1,0,H,1,0,H,Paul Durkin,13,7,5,3,2,5,15,19,0,1,0,0,2000-01,Chelsea,Aston Villa
2001-01-01,Coventry,Man City,1,1,D,0,0,D,Barry Knight,19,10,9,5,12,8,16,15,1,2,0,0,2000-01,Coventry City,Manchester City
2001-01-01,Derby,Everton,1,0,H,1,0,H,Alan Wiley,7,9,3,6,5,11,9,18,2,3,0,0,2000-01,Derby County,Everton
2001-01-01,Leeds,Middlesbrough,1,1,D,0,1,A,David Ellaray,16,5,5,3,5,1,14,15,2,3,0,0,2000-01,Leeds United,Middlesbrough
2001-01-01,Leicester,Bradford,1,2,A,1,2,A,Steve Lodge,9,8,3,4,5,3,11,14,0,3,0,0,2000-01,Leicester City,Bradford City
2001-01-01,Liverpool,Southampton,2,1,H,1,1,D,Dermot Gallagher,16,7,8,3,15,2,8,5,0,1,0,0,2000-01,Liverpool,Southampton
2001-01-01,Man United,West Ham,3,1,H,2,0,H,Peter Jones,25,9,12,5,8,2,17,13,1,2,0,0,2000-01,Manchester United,West Ham United
2001-01-01,Sunderland,Ipswich,4,1,H,1,1,D,Neale Barry,16,9,9,3,4,3,15,10,1,5,0,0,2000-01,Sunderland,Ipswich Town
2001-01-02,Tottenham,Newcastle,4,2,H,3,1,H,Steve Bennett,16,9,10,4,9,6,11,10,0,2,1,2,2000-01,Tottenham Hotspur,Newcastle United
2001-01-13,Arsenal,Chelsea,1,1,D,1,0,H,David Ellaray,15,12,8,8,10,3,13,15,1,4,0,0,2000-01,Arsenal,Chelsea
2001-01-13,Aston Villa,Liverpool,0,3,A,0,2,A,Graham Barber,5,12,1,6,1,4,7,10,2,0,0,0,2000-01,Aston Villa,Liverpool
2001-01-13,Bradford,Man United,0,3,A,0,0,D,Alan Wiley,9,20,3,11,1,9,11,11,1,0,0,0,2000-01,Bradford City,Manchester United
2001-01-13,Everton,Tottenham,0,0,D,0,0,D,Andy D'Urso,17,4,8,1,9,0,11,15,1,0,0,0,2000-01,Everton,Tottenham Hotspur
2001-01-13,Man City,Leeds,0,4,A,0,1,A,Mike Dean,5,10,3,6,4,5,23,17,5,3,0,0,2000-01,Manchester City,Leeds United
2001-01-13,Middlesbrough,Derby,4,0,H,1,0,H,Rob Styles,13,6,8,3,4,5,8,14,0,4,0,0,2000-01,Middlesbrough,Derby County
2001-01-13,Newcastle,Coventry,3,1,H,1,0,H,Jeff Winter,11,12,6,5,2,7,6,9,0,3,0,0,2000-01,Newcastle United,Coventry City
2001-01-13,Southampton,Charlton,0,0,D,0,0,D,Steve Lodge,17,10,6,4,9,3,8,12,0,0,0,0,2000-01,Southampton,Charlton Athletic
2001-01-13,West Ham,Sunderland,0,2,A,0,1,A,Matt Messias,13,7,6,5,9,6,20,21,4,2,0,0,2000-01,West Ham United,Sunderland
2001-01-14,Ipswich,Leicester,2,0,H,0,0,D,Mike Riley,22,6,9,3,8,1,14,10,1,1,0,0,2000-01,Ipswich Town,Leicester City
2001-01-20,Chelsea,Ipswich,4,1,H,1,1,D,Andy D'Urso,23,5,10,2,11,1,11,12,3,0,0,1,2000-01,Chelsea,Ipswich Town
2001-01-20,Coventry,Everton,1,3,A,0,3,A,Paul Durkin,9,8,5,4,15,3,9,22,0,1,0,0,2000-01,Coventry City,Everton
2001-01-20,Derby,Man City,1,1,D,0,0,D,Jeff Winter,9,10,3,4,5,4,17,22,2,2,0,0,2000-01,Derby County,Manchester City
2001-01-20,Leeds,Newcastle,1,3,A,1,2,A,Alan Wiley,12,11,5,7,16,1,12,18,2,1,0,0,2000-01,Leeds United,Newcastle United
2001-01-20,Leicester,Arsenal,0,0,D,0,0,D,Barry Knight,3,13,0,4,1,9,6,8,2,2,1,0,2000-01,Leicester City,Arsenal
2001-01-20,Liverpool,Middlesbrough,0,0,D,0,0,D,Steve Dunn,22,4,7,2,7,3,9,10,1,1,0,0,2000-01,Liverpool,Middlesbrough
2001-01-20,Man United,Aston Villa,2,0,H,0,0,D,Mike Riley,12,5,7,3,7,3,10,19,1,2,0,0,2000-01,Manchester United,Aston Villa
2001-01-20,Tottenham,Southampton,0,0,D,0,0,D,Clive Wilkes,9,9,4,6,6,0,10,15,0,1,0,0,2000-01,Tottenham Hotspur,Southampton
2001-01-21,Sunderland,Bradford,0,0,D,0,0,D,Mark Halsey,14,7,6,3,8,7,10,13,0,1,0,0,2000-01,Sunderland,Bradford City
2001-01-22,Charlton,West Ham,1,1,D,1,0,H,Dermot Gallagher,9,18,3,3,0,5,11,8,0,1,0,0,2000-01,Charlton Athletic,West Ham United
2001-01-24,Aston Villa,Leeds,1,2,A,1,1,D,Steve Bennett,12,7,4,3,5,3,11,10,2,0,0,0,2000-01,Aston Villa,Leeds United
2001-01-30,Arsenal,Bradford,2,0,H,2,0,H,Clive Wilkes,20,6,8,2,6,3,12,14,1,2,0,0,2000-01,Arsenal,Bradford City
2001-01-30,Charlton,Derby,2,1,H,1,1,D,Mike Dean,13,6,9,3,9,3,13,14,2,1,0,0,2000-01,Charlton Athletic,Derby County
2001-01-31,Chelsea,Newcastle,3,1,H,1,1,D,Mark Halsey,14,4,4,2,7,2,12,19,1,3,0,0,2000-01,Chelsea,Newcastle United
2001-01-31,Everton,Middlesbrough,2,2,D,0,1,A,Graham Barber,17,6,8,3,9,1,17,12,1,5,0,0,2000-01,Everton,Middlesbrough
2001-01-31,Leeds,Coventry,1,0,H,0,0,D,Rob Harris,11,3,6,1,9,2,18,19,4,5,0,0,2000-01,Leeds United,Coventry City
2001-01-31,Man City,Liverpool,1,1,D,0,1,A,Peter Jones,4,16,2,3,5,11,17,13,1,1,0,0,2000-01,Manchester City,Liverpool
2001-01-31,Southampton,Leicester,1,0,H,0,0,D,Steve Bennett,10,6,5,3,3,3,14,12,0,3,0,0,2000-01,Southampton,Leicester City
2001-01-31,Sunderland,Man United,0,1,A,0,0,D,Graham Poll,9,13,2,7,3,2,15,13,2,0,2,1,2000-01,Sunderland,Manchester United
2001-01-31,West Ham,Tottenham,0,0,D,0,0,D,Neale Barry,17,14,6,6,9,4,9,16,1,1,0,0,2000-01,West Ham United,Tottenham Hotspur
2001-02-03,Bradford,Aston Villa,0,3,A,0,0,D,Dermot Gallagher,9,13,2,6,3,4,14,14,2,0,0,0,2000-01,Bradford City,Aston Villa
2001-02-03,Coventry,Arsenal,0,1,A,0,0,D,Mike Dean,12,8,4,6,3,7,13,14,3,4,0,0,2000-01,Coventry City,Arsenal
2001-02-03,Derby,Sunderland,1,0,H,1,0,H,Barry Knight,9,17,3,5,3,4,16,18,7,3,0,0,2000-01,Derby County,Sunderland
